provinsi;tahun;sektor;kontribusi_sektor;
Aceh;2018;Informasi dan Komunikasi;2.8;
Aceh;2018;Jasa Keuangan;2.0;
Aceh;2018;Real Estat;4.2;
Aceh;2018;Jasa Perusahaan;0.6;
Aceh;2018;Adm. Pemerintahan;10.1;
Aceh;2018;Jasa Pendidikan;2.7;
Aceh;2018;Jasa Kesehatan;2.6;
Aceh;2018;Jasa Lainnya;1.4;
Aceh;2019;Pertanian;29.5;
Aceh;2019;Pertambangan;4.8;
Aceh;2019;Industri;4.7;
Aceh;2019;Pengadaan Listrik;0.1;
Aceh;2019;Pengadaan Air;0.1;
Aceh;2019;Konstruksi;9.6;
Aceh;2019;Perdagangan;15.5;
Aceh;2019;Transportasi;6.5;
Aceh;2019;Akmamin;1.7;
Aceh;2019;Informasi dan Komunikasi;2.8;
Aceh;2019;Jasa Keuangan;2.1;
Aceh;2019;Real Estat;4.4;
Aceh;2019;Jasa Perusahaan;0.6;
Aceh;2019;Adm. Pemerintahan;10.3;
Aceh;2019;Jasa Pendidikan;3.0;
Aceh;2019;Jasa Kesehatan;2.8;
Aceh;2019;Jasa Lainnya;1.4;
Aceh;2020;Pertanian;31.0;
Aceh;2020;Pertambangan;4.5;
Aceh;2020;Industri;4.6;
Aceh;2020;Pengadaan Listrik;0.1;
Aceh;2020;Pengadaan Air;0.0;
Aceh;2020;Konstruksi;10.7;
Aceh;2020;Perdagangan;14.8;
Aceh;2020;Transportasi;4.6;
Aceh;2020;Akmamin;1.6;
Aceh;2020;Informasi dan Komunikasi;3.1;
Aceh;2020;Jasa Keuangan;2.1;
Aceh;2020;Real Estat;4.3;
Aceh;2020;Jasa Perusahaan;0.6;
Aceh;2020;Adm. Pemerintahan;10.3;
Aceh;2020;Jasa Pendidikan;3.2;
Aceh;2020;Jasa Kesehatan;3.1;
Aceh;2020;Jasa Lainnya;1.5;
Aceh;2021;Pertanian;30.1;
Aceh;2021;Pertambangan;6.7;
Aceh;2021;Industri;5.0;
Aceh;2021;Pengadaan Listrik;0.1;
Aceh;2021;Pengadaan Air;0.0;
